"ngknow"	"ngfinance"	"knowraw"	"L.I.scale"	"typeofedu"	"country"	"phighedu"	"father_edu"	"mother_edu"	"gender"	"age"	"study_year"	"study_year_numeric"	"work_experience"	"PL_home_size"	"CZ_home_size"	"typeofedu.country"	"L.E.axis"	"matrix_economic"	"matrix_social"	"o1"	"o2"	"o3"	"o4"	"o5"	"o6"	"o7"	"o8"	"o9"	"o10"	"o11"	"o12"	"o13"	"o14"	"o15"	"o16"	"o17"	"o18"	"o19"	"o20"	"o21"	"o22"	"o23"	"k1"	"k2"	"k3"	"k4"	"k5"	"k6"	"k7"	"k8"	"k10"	"k11"	"k12"	"k13"	"k14"	"k15"	"k16"	"k17"	"k18"	"k19"	"k20"	"k21"	"k22"	"k23"	"k24"	"k25"	"k26"	"k27"	"k28"	"k29"	"k30"
"pl120"	-2	-2	14	1	"SSHA"	"PL"	"HE:one"	"higher_edu"	"high_school"	"female"	22	"BA_2"	2	"No_experience"	"10k-100k"	NA	"SSHA.PL"	5	3	2	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	0	1	1	0	1	0	1	0	0	1	0	1	0	1	1	1	1	1	0	0	0	0	0	1	0	1	1	0	0
"pl121"	10	2	20	2	"SSHA"	"PL"	"HE:both"	"PHD+"	"higher_edu"	"female"	23	"BA_2"	2	"Up_to_1_year"	"100k-500k"	NA	"SSHA.PL"	9	3	3	"DontKnow"	"Agree"	"DontKnow"	"Agree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"DontKnow"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"DontKnow"	0	0	1	1	0	1	1	1	1	0	1	1	0	1	1	1	0	1	0	1	1	1	0	0	1	1	1	1	1
"pl122"	NA	NA	NA	NA	"SSHA"	"PL"	"HE:both"	"higher_edu"	"higher_edu"	"female"	22	"BA_2"	2	"1_year+"	">500k"	NA	"SSHA.PL"	5	3	3	"Disagree"	"Disagree"	"DontKnow"	"DontKnow"	"DontKnow"	"Agree"	"DontKnow"	"DontKnow"	"DontKnow"	"Agree"	"DontKnow"	"Agree"	"Agree"	"Agree"	"DontKnow"	"DontKnow"	"DontKnow"	"DontKnow"	"DontKnow"	"Agree"	"DontKnow"	"DontKnow"	"Agree"	0	0	0	0	1	1	0	1	0	1	0	1	0	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"pl123"	-4	-4	13	-2	"SSHA"	"PL"	"HE:both"	"PHD+"	"PHD+"	"female"	21	"BA_2"	2	"No_experience"	">500k"	NA	"SSHA.PL"	7	3	2	"Disagree"	"Disagree"	"DontKnow"	"DontKnow"	"DontKnow"	"DontKnow"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"DontKnow"	"Agree"	"Agree"	"DontKnow"	"Agree"	0	1	1	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	1	0	1	1	1	1	1
"pl124"	-6	-2	12	3	NA	"PL"	"HE:both"	"higher_edu"	"higher_edu"	NA	NA	NA	NA	NA	NA	NA	NA	7	2	2	"Disagree"	"DontKnow"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"DontKnow"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"DontKnow"	"Agree"	"DontKnow"	"DontKnow"	"Disagree"	"DontKnow"	"DontKnow"	"Agree"	0	0	0	1	0	1	1	0	0	0	1	0	1	0	1	0	0	0	0	1	1	0	0	1	1	1	0	1	0
"pl125"	0	-6	15	1	"SSHA"	"PL"	"HE:none"	"<=vocational"	"high_school"	"female"	22	"BA_2"	2	"Up_to_1_year"	">500k"	NA	"SSHA.PL"	5	4	3	"Disagree"	"DontKnow"	"Disagree"	"DontKnow"	"DontKnow"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"DontKnow"	"Agree"	"Agree"	"DontKnow"	"Agree"	"Disagree"	"Agree"	"DontKnow"	"Agree"	"Agree"	"DontKnow"	"Agree"	0	0	1	1	0	0	1	0	0	1	1	0	0	1	1	1	0	0	1	1	1	0	1	0	1	1	0	0	1
"pl126"	-10	-2	10	NA	NA	"PL"	"HE:none"	"<=vocational"	"high_school"	NA	NA	NA	NA	NA	NA	NA	NA	3	2	1	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"DontKnow"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"DontKnow"	"Agree"	"Agree"	"Disagree"	"Agree"	0	0	0	0	1	0	0	0	0	0	1	1	1	0	1	0	0	1	0	0	1	1	1	1	0	0	0	0	0
"pl127"	2	0	16	0	NA	"PL"	"HE:one"	"high_school"	"higher_edu"	NA	NA	NA	NA	NA	NA	NA	NA	2	4	2	"Disagree"	"Disagree"	"DontKnow"	"DontKnow"	"DontKnow"	"Disagree"	"Disagree"	"Agree"	"DontKnow"	"DontKnow"	"DontKnow"	"Agree"	"Agree"	"Agree"	"Disagree"	"DontKnow"	"DontKnow"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	0	1	1	1	0	1	1	1	0	1	0	1	0	0	0	1	1	0	1	1	0	1	1	0	0	1	0	0	1
"pl128"	8	2	19	-2	"SSHA"	"PL"	"HE:both"	"higher_edu"	"higher_edu"	"female"	22	"BA_2"	2	"No_experience"	">500k"	NA	"SSHA.PL"	4	3	1	"Disagree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"DontKnow"	"Disagree"	0	1	0	0	0	0	1	0	0	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
"pl129"	6	-2	18	0	"STEM"	"PL"	"HE:one"	"<=vocational"	"higher_edu"	"female"	22	"BA_3"	3	"Up_to_1_year"	"100k-500k"	NA	"STEM.PL"	3	3	1	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Agree"	"DontKnow"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"DontKnow"	"Agree"	0	0	1	1	1	1	0	1	0	1	0	1	0	0	1	1	0	0	1	1	0	1	1	1	1	1	0	1	1
"pl130"	8	4	19	2	"STEM"	"PL"	"HE:one"	"<=vocational"	"higher_edu"	"female"	25	"BA_3"	3	"1_year+"	"100k-500k"	NA	"STEM.PL"	7	3	4	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"DontKnow"	"Agree"	"Agree"	"Disagree"	"Agree"	0	0	1	0	0	1	1	0	1	1	1	1	1	0	1	0	1	0	1	1	0	0	1	1	1	1	1	1	1
"pl131"	8	4	19	-4	"STEM"	"PL"	"HE:both"	"higher_edu"	"PHD+"	"male"	22	"BA_3"	3	"Up_to_1_year"	">500k"	NA	"STEM.PL"	2	3	2	"DontKnow"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"DontKnow"	"Agree"	"Agree"	"Agree"	"Disagree"	"DontKnow"	0	1	1	0	1	0	0	1	0	1	1	1	0	1	1	1	1	0	0	1	1	1	1	0	1	1	1	0	1
"pl132"	12	4	21	2	"STEM"	"PL"	"HE:none"	"high_school"	"high_school"	"female"	22	"BA_3"	3	"Up_to_1_year"	"10k-100k"	NA	"STEM.PL"	5	3	4	"Disagree"	"Disagree"	"Disagree"	"Agree"	"DontKnow"	"Agree"	"Disagree"	"DontKnow"	"Disagree"	"Disagree"	"DontKnow"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"DontKnow"	"Agree"	"DontKnow"	"Agree"	"Agree"	"Disagree"	"Agree"	0	0	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	0	0	1	0	1	1	1	1	0	1	1	1
"pl133"	4	0	17	4	"STEM"	"PL"	"HE:none"	"<=vocational"	"<=vocational"	"female"	22	"BA_3"	3	"No_experience"	"<10k"	NA	"STEM.PL"	6	3	3	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Agree"	0	1	1	1	0	0	1	0	0	1	1	1	0	0	1	1	1	0	0	1	0	0	1	0	1	1	1	1	1
"pl134"	10	0	20	1	"STEM"	"PL"	"HE:none"	"high_school"	"<=vocational"	"female"	21	"BA_3"	3	"No_experience"	"<10k"	NA	"STEM.PL"	6	3	3	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	0	1	1	1	1	0	1	0	0	1	1	1	0	1	1	0	1	1	0	1	0	1	1	1	1	1	0	1	1
"pl135"	10	4	20	2	"STEM"	"PL"	"HE:both"	"PHD+"	"higher_edu"	"female"	22	"BA_3"	3	"Up_to_1_year"	">500k"	NA	"STEM.PL"	6	2	2	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"Disagree"	"DontKnow"	"Agree"	"DontKnow"	"Agree"	"Agree"	"DontKnow"	"Agree"	0	1	1	1	0	1	1	0	0	1	1	1	1	1	1	1	0	1	1	0	1	0	1	0	0	1	1	1	1
"pl136"	-2	0	14	2	"STEM"	"PL"	"HE:none"	"high_school"	"high_school"	"female"	22	"BA_3"	3	"Up_to_1_year"	"100k-500k"	NA	"STEM.PL"	7	2	3	"Disagree"	"DontKnow"	"Disagree"	"Agree"	"DontKnow"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"DontKnow"	"Agree"	"DontKnow"	"Agree"	"Agree"	"Agree"	"Agree"	0	1	0	0	0	1	0	0	0	1	1	0	0	0	1	1	0	0	1	1	1	0	1	0	0	1	1	1	1
"pl137"	-8	-6	11	NA	"STEM"	"PL"	"HE:none"	"<=vocational"	"high_school"	"male"	22	"BA_3"	3	"Up_to_1_year"	"<10k"	NA	"STEM.PL"	3	4	3	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"DontKnow"	"Agree"	"Agree"	"Disagree"	"Agree"	"DontKnow"	"Agree"	"DontKnow"	"Agree"	"Agree"	"DontKnow"	"Agree"	0	0	0	0	0	0	1	0	0	1	1	1	0	0	1	1	0	1	0	1	0	0	0	0	1	0	0	1	1
"pl138"	0	2	15	NA	"STEM"	"PL"	"HE:one"	"high_school"	"higher_edu"	"female"	22	"BA_3"	3	"1_year+"	"100k-500k"	NA	"STEM.PL"	2	3	4	"Disagree"	"Disagree"	"DontKnow"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"DontKnow"	"DontKnow"	"Agree"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	1	1	0	1	0	0	1	1	0	1	1	0	0	0	1	1	0	1	1	1	1	1	0	1
"pl139"	-2	2	14	0	"STEM"	"PL"	"HE:both"	"higher_edu"	"higher_edu"	"female"	22	"BA_3"	3	"Up_to_1_year"	"10k-100k"	NA	"STEM.PL"	5	3	3	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	1	1	1	0	1	1	0	1	1	0	0	1	1	1
"pl140"	8	-2	19	NA	"STEM"	"PL"	"HE:both"	"higher_edu"	"higher_edu"	"female"	22	"BA_3"	3	"Up_to_1_year"	"<10k"	NA	"STEM.PL"	5	3	4	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"DontKnow"	"DontKnow"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Agree"	"DontKnow"	"DontKnow"	"Agree"	"Agree"	"DontKnow"	"Disagree"	0	0	0	1	1	0	1	0	1	1	0	1	0	1	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1
"pl141"	6	4	18	0	"STEM"	"PL"	"HE:none"	"<=vocational"	"<=vocational"	"male"	22	"BA_3"	3	"1_year+"	"<10k"	NA	"STEM.PL"	3	3	2	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Disagree"	"DontKnow"	0	1	0	1	0	0	1	1	0	1	1	1	0	1	1	0	0	0	0	1	1	0	1	1	1	1	1	1	1
"pl142"	6	4	18	-1	"STEM"	"PL"	"HE:both"	"higher_edu"	"higher_edu"	"male"	22	"BA_3"	3	"1_year+"	">500k"	NA	"STEM.PL"	3	4	2	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"DontKnow"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Agree"	"DontKnow"	"DontKnow"	"Agree"	"Agree"	"Agree"	"Agree"	"Disagree"	"DontKnow"	0	1	0	1	1	1	1	1	0	0	1	0	0	0	1	1	0	1	0	1	1	1	1	1	0	0	1	1	1
"pl143"	10	4	20	0	"STEM"	"PL"	"HE:both"	"higher_edu"	"higher_edu"	"male"	22	"BA_3"	3	"No_experience"	"<10k"	NA	"STEM.PL"	6	3	2	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Disagree"	0	0	1	0	0	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	0	0	1	1	1	1	1	1	1
"pl144"	4	-2	17	1	"STEM"	"PL"	"HE:both"	"higher_edu"	"higher_edu"	"female"	21	"BA_3"	3	NA	">500k"	NA	"STEM.PL"	5	4	3	"Disagree"	"Agree"	"DontKnow"	"Agree"	"DontKnow"	"Agree"	"DontKnow"	"Disagree"	"Agree"	"DontKnow"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	0	0	1	0	1	1	0	0	1	0	0	0	1	1	1	1	1	0	1	1	0	0	1	0	1	1	1	1	1
"pl145"	2	6	16	2	"STEM"	"PL"	"HE:one"	"higher_edu"	"high_school"	"male"	22	"BA_3"	3	"No_experience"	"100k-500k"	NA	"STEM.PL"	4	4	3	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	0	0	1	0	0	1	1	0	1	0	1	1	1	0	0	1	1	0	1	1	1	0	0	1	1	0	1	0	1
"pl146"	6	0	18	0	"STEM"	"PL"	"HE:both"	"higher_edu"	"higher_edu"	"female"	22	"BA_3"	3	"Up_to_1_year"	"10k-100k"	NA	"STEM.PL"	5	3	3	"Disagree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	0	1	1	1	1	0	1	0	1	0	1	1	0	0	1	1	0	0	0	0	0	1	1	1	1	1	1	1	1
"pl147"	8	6	19	-4	"SSHA"	"PL"	"HE:one"	"<=vocational"	"PHD+"	"male"	24	"MA_1"	4	"1_year+"	">500k"	NA	"SSHA.PL"	3	3	3	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"DontKnow"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"DontKnow"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Disagree"	0	1	1	1	0	1	1	1	0	1	1	1	0	1	1	1	1	1	0	1	1	0	0	1	0	1	0	0	1
"pl148"	0	4	15	2	NA	"PL"	NA	NA	NA	"female"	23	"MA_1"	4	"Up_to_1_year"	"<10k"	NA	NA	7	2	2	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"DontKnow"	"Disagree"	"Disagree"	"Agree"	"DontKnow"	"DontKnow"	"Disagree"	"Disagree"	"DontKnow"	"DontKnow"	"Disagree"	"Agree"	"Agree"	"DontKnow"	"Disagree"	0	1	0	1	1	0	1	1	0	0	1	1	0	0	1	0	1	0	0	1	1	0	1	0	0	1	1	0	1
"pl149"	-8	-6	11	-1	"SSHA"	"PL"	"HE:one"	"high_school"	"higher_edu"	"male"	24	"MA_1"	4	"1_year+"	">500k"	NA	"SSHA.PL"	3	3	4	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"DontKnow"	"Agree"	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	1	1	1	0	1	0	1	0
"pl150"	-2	0	14	2	"SSHA"	"PL"	"HE:none"	"<=vocational"	"<=vocational"	"male"	21	"MA_1"	4	"Up_to_1_year"	"10k-100k"	NA	"SSHA.PL"	5	4	3	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"DontKnow"	"Agree"	"Disagree"	"DontKnow"	"Agree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"DontKnow"	"Agree"	"Agree"	"DontKnow"	"Agree"	0	0	0	0	0	0	1	1	0	1	1	1	0	0	1	1	1	0	1	1	1	0	1	0	0	0	1	1	0
"pl151"	10	4	20	2	"SSHA"	"PL"	"HE:none"	"high_school"	"high_school"	"female"	28	"MA_1"	4	"1_year+"	"10k-100k"	NA	"SSHA.PL"	3	2	4	"Agree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"DontKnow"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	0	0	1	1	1	1	1	1	0	1	1	1	0	1	1	1	0	0	0	1	1	0	0	1	1	1	1	1	1
"pl152"	2	0	16	2	"SSHA"	"PL"	"HE:none"	"<=vocational"	"<=vocational"	"female"	23	"MA_1"	4	"Up_to_1_year"	">500k"	NA	"SSHA.PL"	5	3	1	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"DontKnow"	"Disagree"	"Disagree"	"Agree"	1	0	0	1	0	1	0	0	1	0	1	0	1	1	1	0	1	0	1	1	0	1	1	0	1	1	1	0	0
"pl153"	-12	-8	9	3	"SSHA"	"PL"	"HE:none"	"<=vocational"	"<=vocational"	"female"	23	"MA_1"	4	"No_experience"	"100k-500k"	NA	"SSHA.PL"	5	4	2	"Disagree"	"Agree"	"DontKnow"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"DontKnow"	"Disagree"	"Agree"	"DontKnow"	"Agree"	"DontKnow"	"Agree"	"DontKnow"	"Agree"	"Agree"	"Disagree"	"Disagree"	"DontKnow"	"Disagree"	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	1	1	1	0	0
"pl154"	8	4	19	2	"SSHA"	"PL"	"HE:one"	"higher_edu"	"high_school"	"female"	NA	"BA_1"	1	"1_year+"	">500k"	NA	"SSHA.PL"	6	2	3	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Agree"	0	1	1	1	0	0	1	0	1	0	0	1	1	1	1	0	1	0	1	1	1	0	0	1	1	1	1	1	1
"pl155"	-6	-2	12	1	"SSHA"	"PL"	"HE:one"	"<=vocational"	"higher_edu"	"female"	23	"MA_1"	4	"1_year+"	">500k"	NA	"SSHA.PL"	5	3	2	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"DontKnow"	"Agree"	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	1	1	1	1	1	1	1	0	0	1
"pl156"	-2	-2	14	4	"SSHA"	"PL"	"HE:one"	"<=vocational"	"higher_edu"	"female"	22	"MA_1"	4	"No_experience"	">500k"	NA	"SSHA.PL"	2	4	2	"Disagree"	"Agree"	"Disagree"	"DontKnow"	"Agree"	"Disagree"	"Disagree"	"Agree"	"DontKnow"	"Agree"	"Disagree"	"Agree"	"DontKnow"	"Agree"	"Agree"	"Agree"	"Agree"	"Disagree"	"DontKnow"	"DontKnow"	"Disagree"	"DontKnow"	"Agree"	0	1	1	0	1	1	0	0	0	1	1	0	0	1	1	1	0	1	0	0	0	0	1	0	0	1	1	0	1
"pl157"	16	8	23	-2	"SSHA"	"PL"	"HE:none"	"<=vocational"	"high_school"	"female"	25	"MA_1"	4	"Up_to_1_year"	"<10k"	NA	"SSHA.PL"	3	3	3	"Disagree"	"DontKnow"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"DontKnow"	"Agree"	"Agree"	"Agree"	"Disagree"	"Disagree"	0	1	1	0	1	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1
"pl158"	4	0	17	1	"SSHA"	"PL"	"HE:one"	"high_school"	"higher_edu"	"female"	24	"MA_1"	4	"Up_to_1_year"	"<10k"	NA	"SSHA.PL"	3	3	3	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Agree"	0	1	0	0	0	1	1	0	0	1	1	0	0	1	1	0	1	1	1	1	1	0	1	0	1	1	1	1	0
"pl159"	-6	-2	12	3	"SSHA"	"PL"	"HE:none"	"high_school"	"high_school"	"female"	24	"MA_1"	4	"1_year+"	"10k-100k"	NA	"SSHA.PL"	5	3	3	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Agree"	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	1	0	1	1	0	0	1	1	0	1	0	1	1
"pl160"	-2	-2	14	NA	NA	"PL"	"HE:both"	"higher_edu"	"higher_edu"	"female"	23	"BA_1"	1	"No_experience"	"<10k"	NA	NA	5	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	1	1	0	1	0	1	0	1	0	1	0	0	1	1	0	0	0	0	0	1	1	0	1	1	1	0	0
"pl161"	16	6	23	1	"SSHA"	"PL"	"HE:both"	"higher_edu"	"higher_edu"	"male"	24	"MA_1"	4	"1_year+"	"10k-100k"	NA	"SSHA.PL"	5	3	2	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"DontKnow"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"DontKnow"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"DontKnow"	"DontKnow"	"DontKnow"	"DontKnow"	"Disagree"	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0	0	1	1	1	1	1	0	1	1	1	1
"pl162"	-2	4	14	3	"SSHA"	"PL"	"HE:none"	"<=vocational"	"high_school"	"male"	23	"MA_1"	4	"Up_to_1_year"	"<10k"	NA	"SSHA.PL"	6	2	3	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"DontKnow"	"Agree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"DontKnow"	"Agree"	0	1	0	1	0	1	1	0	1	0	1	1	0	0	0	1	1	0	1	0	1	0	1	0	0	0	1	0	1
"pl163"	-4	-4	13	3	"SSHA"	"PL"	"HE:one"	"higher_edu"	"high_school"	"male"	30	"MA_1"	4	"No_experience"	"<10k"	NA	"SSHA.PL"	7	3	3	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"Disagree"	"DontKnow"	"Agree"	"DontKnow"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Disagree"	"DontKnow"	"Agree"	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	0	0	1	1	1	0	1	1	1	1	0	1	0	0
